date,team,opponent,result
2-14,North+Carolina+Central,Coppin St.,"W, 77-74 "
2-19,North+Carolina+Central,Delaware St.,"W, 84-79 OT"
2-21,North+Carolina+Central,Maryland Eastern Shore,"L, 79-66 "
2-26,North+Carolina+Central,Howard,"L, 77-67 "
2-28,North+Carolina+Central,Norfolk St.,"L, 75-46 "
3-03,North+Carolina+Central,South Carolina St.,"W, 67-62 "
3-10,North+Carolina+Central,Maryland Eastern Shore,"W, 68-56 "
3-11,North+Carolina+Central,Coppin St.,"L, 79-73 "
11-09,South+Carolina+St.,East Carolina,"L, 70-62 "
11-11,South+Carolina+St.,College of Charleston,"L, 106-74 "
11-12,South+Carolina+St.,Loyola MD,"L, 75-65 "
11-13,South+Carolina+St.,Lipscomb,"L, 93-81 "
11-16,South+Carolina+St.,Georgia,"L, 76-60 "
11-18,South+Carolina+St.,St. Andrews,"W, 67-53 "
11-23,South+Carolina+St.,USC Upstate,"L, 82-78 "
11-28,South+Carolina+St.,The Citadel,"L, 91-79 OT"
12-03,South+Carolina+St.,South Florida,"W, 65-64 "
12-10,South+Carolina+St.,High Point,"W, 67-66 "
12-14,South+Carolina+St.,Duke,"L, 103-62 "
12-16,South+Carolina+St.,Carver,"W, 105-46 "
12-18,South+Carolina+St.,Tennessee St.,"W, 90-88 OT"
12-20,South+Carolina+St.,The Citadel,"W, 74-57 "
12-21,South+Carolina+St.,Charleston Southern,"W, 75-65 "
1-08,South+Carolina+St.,Coppin St.,"L, 74-65 "
1-10,South+Carolina+St.,Morgan St.,"L, 88-81 OT"
1-18,South+Carolina+St.,Morris,"W, 102-67 "
1-22,South+Carolina+St.,Maryland Eastern Shore,"W, 69-60 "
1-24,South+Carolina+St.,Delaware St.,"W, 64-62 "
1-29,South+Carolina+St.,Norfolk St.,"L, 87-69 "
1-31,South+Carolina+St.,Howard,"W, 58-55 "
2-07,South+Carolina+St.,North Carolina Central,"W, 74-68 "
2-12,South+Carolina+St.,Coppin St.,"W, 66-58 "
2-14,South+Carolina+St.,Morgan St.,"L, 76-66 "
2-19,South+Carolina+St.,Maryland Eastern Shore,"W, 70-63 "
2-21,South+Carolina+St.,Delaware St.,"W, 79-74 "
2-26,South+Carolina+St.,Norfolk St.,"L, 63-59 "
2-28,South+Carolina+St.,Howard,"L, 72-62 "
3-03,South+Carolina+St.,North Carolina Central,"L, 67-62 "
3-10,South+Carolina+St.,Morgan St.,"L, 80-77 "
11-09,Bradley,South Dakota St.,"L, 81-65 "
11-13,Bradley,Howard,"L, 76-64 "
11-16,Bradley,Missouri S&T,"W, 92-66 "
11-19,Bradley,Colorado St.,"L, 66-60 "
11-20,Bradley,Brown,"L, 65-62 "
11-22,Bradley,Duquesne,"L, 78-70 "
11-27,Bradley,Maine,"W, 71-39 "
12-01,Bradley,Northern Iowa,"W, 71-69 "
12-04,Bradley,SIU Edwardsville,"W, 80-55 "
12-07,Bradley,Toledo,"L, 67-65 "
12-18,Bradley,Saint Joseph's,"W, 77-73 "
12-21,Bradley,Sam Houston St.,"W, 87-61 0OT"
12-22,Bradley,UTEP,"W, 73-66 "
1-02,Bradley,Indiana St.,"L, 76-71 "
1-05,Bradley,Missouri St.,"L, 71-69 "
1-08,Bradley,Loyola Chicago,"L, 78-71 OT"
1-12,Bradley,Evansville,"W, 79-47 "
1-16,Bradley,Illinois St.,"L, 74-65 "
1-19,Bradley,Drake,"W, 83-71 "
1-22,Bradley,Southern Illinois,"W, 70-62 "
1-26,Bradley,Valparaiso,"W, 71-56 "
1-30,Bradley,Indiana St.,"W, 67-52 "
2-02,Bradley,Northern Iowa,"L, 78-65 "
2-05,Bradley,Evansville,"W, 76-41 "
2-09,Bradley,Loyola Chicago,"W, 68-61 "
2-12,Bradley,Drake,"W, 68-59 "
2-15,Bradley,Southern Illinois,"L, 65-57 "
2-19,Bradley,Illinois St.,"W, 72-64 "
2-23,Bradley,Missouri St.,"L, 83-67 "
2-26,Bradley,Valparaiso,"W, 79-55 "
3-04,Bradley,Loyola Chicago,"L, 66-50 "
11-09,Drake,Coe College,"W, 87-61 "
11-14,Drake,South Dakota,"W, 99-50 "
11-20,Drake,Richmond,"W, 73-70 "
11-25,Drake,Belmont,"L, 74-69 "
11-26,Drake,Alabama,"L, 80-71 "
11-28,Drake,North Texas,"L, 57-54 "
12-02,Drake,Valparaiso,"W, 73-66 "
12-05,Drake,St. Thomas,"W, 74-64 "
12-08,Drake,Nebraska Omaha,"W, 78-70 "
12-11,Drake,Clemson,"L, 90-80 OT"
12-16,Drake,Jackson St.,"W, 70-65 OT"
12-19,Drake,Tennessee Martin,"W, 80-54 "
12-22,Drake,Chicago St.,"W, 87-50 "
12-28,Drake,Mt. Marty,"W, 82-53 "
1-02,Drake,Missouri St.,"L, 61-56 "
1-08,Drake,Evansville,"W, 60-59 "
1-12,Drake,Illinois St.,"W, 86-75 "
1-17,Drake,Southern Illinois,"W, 60-59 "
1-19,Drake,Bradley,"L, 83-71 "
1-22,Drake,Northern Iowa,"W, 82-74 OT"
1-26,Drake,Illinois St.,"W, 89-88 OT"
1-30,Drake,Loyola Chicago,"W, 77-68 "
2-02,Drake,Indiana St.,"W, 85-67 "
2-05,Drake,Northern Iowa,"L, 74-69 OT"
2-09,Drake,Missouri St.,"L, 66-62 "
2-12,Drake,Bradley,"L, 68-59 "
2-16,Drake,Evansville,"W, 73-51 "
2-19,Drake,Loyola Chicago,"W, 83-76 "
2-21,Drake,Indiana St.,"W, 74-58 "
2-23,Drake,Valparaiso,"W, 71-65 "
2-26,Drake,Southern Illinois,"W, 62-60 "
3-04,Drake,Southern Illinois,"W, 65-52 "
3-05,Drake,Missouri St.,"W, 79-78 OT"
3-06,Drake,Loyola Chicago,"L, 64-58 "
3-19,Drake,Fort Wayne,"-7.8, 73-6579%"
11-09,Evansville,Cincinnati,"L, 65-43 "
11-11,Evansville,IUPUI,"W, 60-40 "
11-13,Evansville,Belmont,"L, 81-43 "
11-16,Evansville,DePauw,"W, 69-58 "
11-20,Evansville,UCF,"L, 75-59 "
11-22,Evansville,Rice,"L, 109-104 3OT"
11-23,Evansville,Vermont,"L, 58-49 "
11-24,Evansville,Akron,"L, 69-60 "
11-28,Evansville,Eastern Illinois,"W, 70-54 "
12-01,Evansville,Southern Illinois,"L, 54-52 "
12-04,Evansville,Tennessee Tech,"W, 59-51 "
12-08,Evansville,Southeast Missouri St.,"L, 75-73 "
1-02,Evansville,Northern Iowa,"L, 83-61 "
1-08,Evansville,Drake,"L, 60-59 "
1-12,Evansville,Bradley,"L, 79-47 "
1-18,Evansville,Loyola Chicago,"L, 77-48 "
1-21,Evansville,Illinois St.,"L, 94-56 "
1-23,Evansville,Illinois St.,"W, 56-53 "
1-26,Evansville,Northern Iowa,"L, 64-59 "
1-29,Evansville,Missouri St.,"L, 72-58 "
2-05,Evansville,Bradley,"L, 76-41 "
2-08,Evansville,Indiana St.,"W, 65-56 "
2-10,Evansville,Indiana St.,"L, 80-77 2OT"
2-12,Evansville,Southern Illinois,"L, 69-62 "
2-16,Evansville,Drake,"L, 73-51 "
2-19,Evansville,Valparaiso,"L, 72-56 "
2-21,Evansville,Valparaiso,"L, 74-69 "
2-23,Evansville,Loyola Chicago,"L, 82-31 "
2-26,Evansville,Missouri St.,"L, 88-79 "
3-03,Evansville,Valparaiso,"L, 81-59 "
11-09,Illinois+St.,UNC Wilmington,"W, 68-63 "
11-12,Illinois+St.,Eastern Michigan,"L, 103-98 2OT"
11-16,Illinois+St.,Murray St.,"L, 77-65 "
11-20,Illinois+St.,Bucknell,"W, 105-100 OT"
11-23,Illinois+St.,Saint Louis,"L, 82-76 "
11-24,Illinois+St.,Buffalo,"L, 106-90 "
11-27,Illinois+St.,Purdue Northwest,"W, 81-71 "
12-01,Illinois+St.,Missouri St.,"W, 79-74 OT"
12-04,Illinois+St.,Jackson St.,"L, 61-55 "
12-11,Illinois+St.,Chicago St.,"W, 80-71 "
12-14,Illinois+St.,Quincy,"W, 81-63 "
12-18,Illinois+St.,Ball St.,"W, 85-64 "
12-21,Illinois+St.,UTSA,"W, 81-64 "
12-29,Illinois+St.,Wisconsin,"L, 89-85 "
1-02,Illinois+St.,Valparaiso,"L, 81-76 OT"
1-12,Illinois+St.,Drake,"L, 86-75 "
1-16,Illinois+St.,Bradley,"W, 74-65 "
1-19,Illinois+St.,Missouri St.,"L, 88-63 "
1-21,Illinois+St.,Evansville,"W, 94-56 "
1-23,Illinois+St.,Evansville,"L, 56-53 "
1-26,Illinois+St.,Drake,"L, 89-88 OT"
1-29,Illinois+St.,Northern Iowa,"L, 79-64 "
2-02,Illinois+St.,Loyola Chicago,"L, 78-64 "
2-05,Illinois+St.,Southern Illinois,"L, 75-69 "
2-09,Illinois+St.,Valparaiso,"W, 78-75 OT"
2-12,Illinois+St.,Indiana St.,"L, 60-57 "
2-15,Illinois+St.,Northern Iowa,"L, 72-70 "
2-19,Illinois+St.,Bradley,"L, 72-64 "
2-21,Illinois+St.,Loyola Chicago,"L, 59-50 "
2-23,Illinois+St.,Southern Illinois,"L, 90-69 "
2-26,Illinois+St.,Indiana St.,"W, 86-66 "
3-03,Illinois+St.,Indiana St.,"W, 58-53 "
3-04,Illinois+St.,Northern Iowa,"L, 78-65 "
11-09,Indiana+St.,Green Bay,"W, 81-77 "
11-12,Indiana+St.,Purdue,"L, 92-67 "
11-14,Indiana+St.,Hanover,"W, 90-49 "
11-18,Indiana+St.,Old Dominion,"W, 77-36 "
11-19,Indiana+St.,Oklahoma,"L, 87-63 "
11-21,Indiana+St.,New Mexico St.,"L, 80-66 "
11-27,Indiana+St.,Ball St.,"L, 97-75 "
12-01,Indiana+St.,Loyola Chicago,"L, 88-76 "
12-04,Indiana+St.,Miami OH,"W, 69-68 "
12-13,Indiana+St.,North Dakota St.,"L, 77-70 "
12-18,Indiana+St.,Alabama A&M,"W, 67-43 "
12-20,Indiana+St.,Oakland City,"W, 78-69 "
12-29,Indiana+St.,Midway,"W, 107-51 "
1-02,Indiana+St.,Bradley,"W, 76-71 "
1-11,Indiana+St.,Northern Iowa,"L, 80-74 OT"
1-15,Indiana+St.,Loyola Chicago,"L, 64-56 "
1-19,Indiana+St.,Southern Illinois,"L, 63-55 "
1-22,Indiana+St.,Valparaiso,"L, 75-73 "
1-25,Indiana+St.,Missouri St.,"W, 76-72 "
1-30,Indiana+St.,Bradley,"L, 67-52 "
2-02,Indiana+St.,Drake,"L, 85-67 "
2-05,Indiana+St.,Valparaiso,"L, 79-72 2OT"
2-08,Indiana+St.,Evansville,"L, 65-56 "
2-10,Indiana+St.,Evansville,"W, 80-77 2OT"
2-12,Indiana+St.,Illinois St.,"W, 60-57 "
2-15,Indiana+St.,Missouri St.,"L, 79-70 "
2-19,Indiana+St.,Southern Illinois,"L, 76-72 "
2-21,Indiana+St.,Drake,"L, 74-58 "
2-23,Indiana+St.,Northern Iowa,"L, 88-82 "
2-26,Indiana+St.,Illinois St.,"L, 86-66 "
3-03,Indiana+St.,Illinois St.,"L, 58-53 "
11-09,Missouri+St.,Southeast Missouri St.,"L, 99-94 "
11-13,Missouri+St.,Alabama St.,"W, 78-60 "
11-17,Missouri+St.,Sam Houston St.,"W, 77-55 "
11-22,Missouri+St.,Long Beach St.,"W, 92-66 "
11-23,Missouri+St.,East Tennessee St.,"L, 77-76 "
11-24,Missouri+St.,George Washington,"W, 72-54 "
12-01,Missouri+St.,Illinois St.,"L, 79-74 OT"
12-04,Missouri+St.,BYU,"L, 74-68 "
12-08,Missouri+St.,Little Rock,"W, 81-55 "
12-11,Missouri+St.,Oral Roberts,"W, 69-60 "
12-15,Missouri+St.,South Dakota St.,"W, 75-63 "
12-18,Missouri+St.,Central Arkansas,"W, 106-70 "
12-22,Missouri+St.,Saint Mary's,"L, 75-58 "
12-30,Missouri+St.,Evangel,"W, 103-56 "
1-02,Missouri+St.,Drake,"W, 61-56 "
1-05,Missouri+St.,Bradley,"W, 71-69 "
1-08,Missouri+St.,Northern Iowa,"L, 85-84 "
1-12,Missouri+St.,Southern Illinois,"W, 81-76 "
1-15,Missouri+St.,Valparaiso,"W, 74-57 "
1-19,Missouri+St.,Illinois St.,"W, 88-63 "
1-22,Missouri+St.,Loyola Chicago,"W, 79-69 "
1-25,Missouri+St.,Indiana St.,"L, 76-72 "
1-29,Missouri+St.,Evansville,"W, 72-58 "
2-02,Missouri+St.,Southern Illinois,"W, 69-54 "
2-06,Missouri+St.,Loyola Chicago,"L, 71-62 "
2-09,Missouri+St.,Drake,"W, 66-62 "
2-12,Missouri+St.,Valparaiso,"W, 84-66 "
2-15,Missouri+St.,Indiana St.,"W, 79-70 "
2-20,Missouri+St.,Northern Iowa,"L, 95-75 "
2-23,Missouri+St.,Bradley,"W, 83-67 "
2-26,Missouri+St.,Evansville,"W, 88-79 "
3-04,Missouri+St.,Valparaiso,"W, 67-58 "
3-05,Missouri+St.,Drake,"L, 79-78 OT"
3-15,Missouri+St.,Oklahoma,"0.0, 71-7050%"
11-09,Southern+Illinois,Little Rock,"L, 69-66 "
11-12,Southern+Illinois,Austin Peay,"W, 73-55 "
11-19,Southern+Illinois,Colorado,"W, 67-63 "
11-21,Southern+Illinois,Northeastern,"L, 59-47 "
11-22,Southern+Illinois,Creighton,"L, 66-64 "
11-26,Southern+Illinois,Alcorn St.,"W, 62-59 "
12-01,Southern+Illinois,Evansville,"W, 54-52 "
12-04,Southern+Illinois,Southern Miss,"W, 66-41 "
12-11,Southern+Illinois,Tulsa,"L, 69-65 "
12-15,Southern+Illinois,Southeast Missouri St.,"W, 80-55 "
12-18,Southern+Illinois,Maryville (MO),"W, 75-55 "
12-22,Southern+Illinois,San Francisco,"L, 64-52 "
12-28,Southern+Illinois,Grambling St.,"W, 75-64 "
1-08,Southern+Illinois,Valparaiso,"W, 63-60 "
1-12,Southern+Illinois,Missouri St.,"L, 81-76 "
1-15,Southern+Illinois,Northern Iowa,"L, 69-68 "
1-17,Southern+Illinois,Drake,"L, 60-59 "
1-19,Southern+Illinois,Indiana St.,"W, 63-55 "
1-22,Southern+Illinois,Bradley,"L, 70-62 "
1-25,Southern+Illinois,Loyola Chicago,"L, 59-47 "
1-27,Southern+Illinois,Loyola Chicago,"L, 44-39 "
1-30,Southern+Illinois,Valparaiso,"W, 77-55 "
2-02,Southern+Illinois,Missouri St.,"L, 69-54 "
2-05,Southern+Illinois,Illinois St.,"W, 75-69 "
2-09,Southern+Illinois,Northern Iowa,"L, 53-44 "
2-12,Southern+Illinois,Evansville,"W, 69-62 "
2-15,Southern+Illinois,Bradley,"W, 65-57 "
2-19,Southern+Illinois,Indiana St.,"W, 76-72 "
2-23,Southern+Illinois,Illinois St.,"W, 90-69 "
2-26,Southern+Illinois,Drake,"L, 62-60 "
3-04,Southern+Illinois,Drake,"L, 65-52 "
11-09,Northern+Iowa,Nicholls St.,"L, 62-58 "
11-11,Northern+Iowa,Vermont,"L, 71-57 "
11-14,Northern+Iowa,Dubuque,"W, 95-58 "
11-17,Northern+Iowa,Arkansas,"L, 93-80 "
11-27,Northern+Iowa,St. Bonaventure,"W, 90-80 "
12-01,Northern+Iowa,Bradley,"L, 71-69 "
12-05,Northern+Iowa,Richmond,"L, 60-52 "
12-14,Northern+Iowa,Jackson St.,"W, 66-56 "
12-18,Northern+Iowa,Marshall,"W, 75-60 "
12-22,Northern+Iowa,Liberty,"L, 76-74 "
12-23,Northern+Iowa,Wyoming,"L, 71-69 "
1-02,Northern+Iowa,Evansville,"W, 83-61 "
1-05,Northern+Iowa,Valparaiso,"W, 92-65 "
1-08,Northern+Iowa,Missouri St.,"W, 85-84 "
1-11,Northern+Iowa,Indiana St.,"W, 80-74 OT"
1-15,Northern+Iowa,Southern Illinois,"W, 69-68 "
1-19,Northern+Iowa,Valparaiso,"L, 83-80 OT"
1-22,Northern+Iowa,Drake,"L, 82-74 OT"
1-26,Northern+Iowa,Evansville,"W, 64-59 "
1-29,Northern+Iowa,Illinois St.,"W, 79-64 "
2-02,Northern+Iowa,Bradley,"W, 78-65 "
2-05,Northern+Iowa,Drake,"W, 74-69 OT"
2-09,Northern+Iowa,Southern Illinois,"W, 53-44 "
2-13,Northern+Iowa,Loyola Chicago,"L, 85-58 "
2-15,Northern+Iowa,Illinois St.,"W, 72-70 "
2-20,Northern+Iowa,Missouri St.,"W, 95-75 "
2-23,Northern+Iowa,Indiana St.,"W, 88-82 "
2-26,Northern+Iowa,Loyola Chicago,"W, 102-96 OT"
3-04,Northern+Iowa,Illinois St.,"W, 78-65 "
3-05,Northern+Iowa,Loyola Chicago,"L, 66-43 "
3-16,Northern+Iowa,Saint Louis,"-0.1, 75-7451%"
11-11,Air+Force,South Dakota,"L, 59-53 "
11-13,Air+Force,Tulsa,"W, 59-58 "
11-17,Air+Force,Texas Southern,"W, 61-57 "
11-20,Air+Force,Holy Cross,"W, 72-53 "
11-21,Air+Force,Bethune Cookman,"W, 73-65 "
11-24,Air+Force,Denver,"W, 66-65 "
11-27,Air+Force,Idaho St.,"W, 59-48 "
12-04,Air+Force,Army,"W, 76-58 "
12-08,Air+Force,Montana,"L, 66-48 "
12-19,Air+Force,Arkansas St.,"L, 68-46 "
12-21,Air+Force,Tarleton St.,"L, 67-45 "
12-29,Air+Force,Utah St.,"W, 49-47 "
1-04,Air+Force,Colorado St.,"L, 67-59 "
1-15,Air+Force,Nevada,"L, 75-68 "
1-18,Air+Force,Boise St.,"L, 62-56 "
1-20,Air+Force,UNLV,"W, 69-62 "
1-22,Air+Force,Colorado St.,"L, 73-53 "
1-25,Air+Force,San Jose St.,"W, 63-53 "
1-28,Air+Force,Wyoming,"L, 63-61 "
2-01,Air+Force,Utah St.,"L, 73-46 "
2-05,Air+Force,New Mexico,"L, 91-77 "
2-08,Air+Force,UNLV,"L, 78-44 "
2-12,Air+Force,San Diego St.,"L, 76-64 "
2-16,Air+Force,Boise St.,"L, 85-59 "
2-19,Air+Force,Wyoming,"L, 75-67 "
2-22,Air+Force,Fresno St.,"L, 65-40 "
2-26,Air+Force,New Mexico,"L, 69-65 "
3-01,Air+Force,San Jose St.,"W, 58-54 "
3-09,Air+Force,Utah St.,"L, 83-56 "
11-09,Colorado+St.,Oral Roberts,"W, 109-80 "
11-12,Colorado+St.,Arkansas Pine Bluff,"W, 91-71 "
11-14,Colorado+St.,Peru St.,"W, 88-62 "
11-19,Colorado+St.,Bradley,"W, 66-60 "
11-21,Colorado+St.,Creighton,"W, 95-81 "
11-22,Colorado+St.,Northeastern,"W, 71-61 "
11-27,Colorado+St.,Northern Colorado,"W, 88-79 "
12-01,Colorado+St.,Little Rock,"W, 86-55 "
12-04,Colorado+St.,Saint Mary's,"W, 74-58 "
12-11,Colorado+St.,Mississippi St.,"W, 66-63 "
1-04,Colorado+St.,Air Force,"W, 67-59 "
1-08,Colorado+St.,San Diego St.,"L, 79-49 "
1-12,Colorado+St.,Utah St.,"W, 77-72 "
1-15,Colorado+St.,San Jose St.,"W, 78-42 "
1-19,Colorado+St.,New Mexico,"W, 80-74 "
1-22,Colorado+St.,Air Force,"W, 73-53 "
1-25,Colorado+St.,Nevada,"W, 77-66 "
1-28,Colorado+St.,UNLV,"L, 88-74 "
1-31,Colorado+St.,Wyoming,"L, 84-78 OT"
2-04,Colorado+St.,San Diego St.,"W, 58-57 "
2-08,Colorado+St.,Nevada,"W, 82-72 "
2-11,Colorado+St.,Fresno St.,"W, 65-50 "
2-13,Colorado+St.,Boise St.,"W, 77-74 OT"
2-17,Colorado+St.,New Mexico,"W, 83-68 "
2-19,Colorado+St.,UNLV,"L, 72-51 "
2-23,Colorado+St.,Wyoming,"W, 61-55 "
2-26,Colorado+St.,Utah St.,"W, 66-55 "
3-05,Colorado+St.,Boise St.,"W, 71-68 "
3-10,Colorado+St.,Utah St.,"W, 53-51 "
3-11,Colorado+St.,San Diego St.,"L, 63-58 "
3-17,Colorado+St.,Michigan,"+2.0, 71-6942%"
11-09,Fresno+St.,Fresno Pacific,"W, 74-54 "
11-12,Fresno+St.,LIU Brooklyn,"W, 84-60 "
11-15,Fresno+St.,Idaho,"W, 69-62 "
11-22,Fresno+St.,Pepperdine,"W, 70-63 "
11-24,Fresno+St.,Santa Clara,"W, 59-52 "
11-28,Fresno+St.,California,"L, 65-57 "
12-01,Fresno+St.,San Diego,"W, 63-43 "
12-04,Fresno+St.,Cal St. Northridge,"W, 61-43 "
12-08,Fresno+St.,San Francisco,"L, 71-63 "
12-11,Fresno+St.,UC Irvine,"W, 63-55 "
12-17,Fresno+St.,Cal Poly,"W, 83-48 "
12-21,Fresno+St.,Utah,"L, 55-50 "
12-23,Fresno+St.,Weber St.,"W, 69-43 "
12-28,Fresno+St.,Boise St.,"L, 65-55 "
1-11,Fresno+St.,San Jose St.,"W, 79-59 "
1-14,Fresno+St.,UNLV,"W, 73-68 "
1-18,Fresno+St.,Utah St.,"W, 61-54 "
1-21,Fresno+St.,Nevada,"L, 77-73 "
1-25,Fresno+St.,New Mexico,"W, 65-60 "
1-28,Fresno+St.,Boise St.,"L, 68-63 OT"
2-01,Fresno+St.,San Jose St.,"W, 73-43 "
2-04,Fresno+St.,Nevada,"W, 73-56 "
2-06,Fresno+St.,Wyoming,"L, 61-59 "
2-11,Fresno+St.,Colorado St.,"L, 65-50 "
2-16,Fresno+St.,UNLV,"L, 60-57 "
2-19,Fresno+St.,San Diego St.,"L, 61-44 "
2-22,Fresno+St.,Air Force,"W, 65-40 "
2-28,Fresno+St.,New Mexico,"W, 71-68 "
3-03,Fresno+St.,San Diego St.,"L, 65-64 2OT"
3-05,Fresno+St.,Wyoming,"L, 68-64 OT"
3-09,Fresno+St.,San Jose St.,"W, 69-67 OT"
3-10,Fresno+St.,San Diego St.,"L, 53-46 "
11-09,Nevada,Eastern Washington,"W, 91-76 "
11-12,Nevada,San Diego,"L, 75-68 "
11-16,Nevada,Santa Clara,"L, 96-74 "
11-18,Nevada,San Francisco,"L, 73-70 "
11-22,Nevada,South Dakota St.,"L, 102-75 "
11-23,Nevada,George Mason,"W, 88-69 "
11-24,Nevada,Washington,"W, 81-62 "
11-30,Nevada,Pepperdine,"W, 79-66 "
12-15,Nevada,Minn. Duluth,"W, 98-62 "
12-18,Nevada,Loyola Marymount,"W, 68-63 "
12-29,Nevada,Kansas,"L, 88-61 "
1-01,Nevada,New Mexico,"W, 79-70 "
1-12,Nevada,Boise St.,"L, 85-70 "
1-15,Nevada,Air Force,"W, 75-68 "
1-17,Nevada,Wyoming,"L, 77-67 "
1-21,Nevada,Fresno St.,"W, 77-73 "
1-25,Nevada,Colorado St.,"L, 77-66 "
1-29,Nevada,Utah St.,"L, 78-49 "
2-01,Nevada,UNLV,"L, 69-58 "
2-04,Nevada,Fresno St.,"L, 73-56 "
2-06,Nevada,San Diego St.,"L, 65-63 "
2-08,Nevada,Colorado St.,"L, 82-72 "
2-11,Nevada,Utah St.,"W, 85-72 "
2-15,Nevada,San Jose St.,"W, 81-72 "
2-17,Nevada,San Jose St.,"W, 90-60 "
2-22,Nevada,UNLV,"L, 62-54 "
2-26,Nevada,Wyoming,"L, 74-61 "
3-01,Nevada,Boise St.,"L, 73-67 "
3-05,Nevada,San Diego St.,"L, 79-78 "
3-09,Nevada,New Mexico,"W, 79-72 "
3-10,Nevada,Boise St.,"L, 71-69 "
11-10,New+Mexico,Florida Atlantic,"W, 99-92 "
11-13,New+Mexico,Colorado,"L, 87-76 "
11-15,New+Mexico,Grambling St.,"W, 86-61 "
11-20,New+Mexico,Montana St.,"W, 81-78 "
11-22,New+Mexico,Western New Mexico,"W, 88-63 "
11-25,New+Mexico,UAB,"L, 86-73 "
11-26,New+Mexico,Towson,"L, 73-58 "
11-30,New+Mexico,New Mexico St.,"W, 101-94 "
12-06,New+Mexico,New Mexico St.,"L, 78-76 OT"
12-09,New+Mexico,Denver,"W, 87-67 "
12-12,New+Mexico,UTEP,"L, 77-69 "
12-19,New+Mexico,SMU,"L, 90-72 "
12-21,New+Mexico,Norfolk St.,"W, 68-54 "
1-01,New+Mexico,Nevada,"L, 79-70 "
1-08,New+Mexico,Utah St.,"L, 90-87 OT"
1-11,New+Mexico,UNLV,"L, 85-56 "
1-15,New+Mexico,Boise St.,"L, 71-63 "
1-19,New+Mexico,Colorado St.,"L, 80-74 "
1-22,New+Mexico,Wyoming,"L, 93-91 "
1-25,New+Mexico,Fresno St.,"L, 65-60 "
1-28,New+Mexico,San Jose St.,"W, 86-70 "
1-31,New+Mexico,San Diego St.,"L, 72-47 "
2-05,New+Mexico,Air Force,"W, 91-77 "
2-11,New+Mexico,Northern New Mexico,"W, 78-46 "
2-15,New+Mexico,Wyoming,"W, 75-66 "
2-17,New+Mexico,Colorado St.,"L, 83-68 "
2-20,New+Mexico,San Jose St.,"L, 71-55 "
2-22,New+Mexico,Utah St.,"L, 81-56 "
2-26,New+Mexico,Air Force,"W, 69-65 "
2-28,New+Mexico,Fresno St.,"L, 71-68 "
3-05,New+Mexico,UNLV,"W, 76-67 "
3-09,New+Mexico,Nevada,"L, 79-72 "
11-11,San+Jose+St.,Cal St. Fullerton,"W, 78-76 "
11-15,San+Jose+St.,Stanford,"L, 76-62 "
11-18,San+Jose+St.,Cal Baptist,"L, 67-66 "
11-20,San+Jose+St.,Texas,"L, 79-45 "
11-23,San+Jose+St.,Northern Colorado,"W, 75-74 "
11-30,San+Jose+St.,South Dakota,"W, 61-52 "
12-03,San+Jose+St.,North Dakota,"W, 76-51 "
12-06,San+Jose+St.,Pepperdine,"L, 82-69 "
12-11,San+Jose+St.,Pacific,"W, 78-66 "
12-17,San+Jose+St.,Portland,"W, 90-78 "
12-21,San+Jose+St.,Santa Clara,"L, 79-57 "
1-08,San+Jose+St.,Bethesda (CA),"W, 118-43 "
1-11,San+Jose+St.,Fresno St.,"L, 79-59 "
1-15,San+Jose+St.,Colorado St.,"L, 78-42 "
1-17,San+Jose+St.,UNLV,"L, 81-56 "
1-19,San+Jose+St.,Wyoming,"L, 84-69 "
1-22,San+Jose+St.,UNLV,"L, 70-62 "
1-25,San+Jose+St.,Air Force,"L, 63-53 "
1-28,San+Jose+St.,New Mexico,"L, 86-70 "
2-01,San+Jose+St.,Fresno St.,"L, 73-43 "
2-03,San+Jose+St.,Utah St.,"L, 78-62 "
2-05,San+Jose+St.,Boise St.,"L, 76-60 "
2-09,San+Jose+St.,San Diego St.,"L, 72-62 "
2-12,San+Jose+St.,Wyoming,"L, 74-52 "
2-15,San+Jose+St.,Nevada,"L, 81-72 "
2-17,San+Jose+St.,Nevada,"L, 90-60 "
2-20,San+Jose+St.,New Mexico,"W, 71-55 "
2-25,San+Jose+St.,San Diego St.,"L, 77-52 "
3-01,San+Jose+St.,Air Force,"L, 58-54 "
3-04,San+Jose+St.,Utah St.,"L, 75-52 "
3-09,San+Jose+St.,Fresno St.,"L, 69-67 OT"
11-10,UNLV,Gardner Webb,"W, 64-58 "
11-13,UNLV,California,"W, 55-52 "
11-15,UNLV,North Dakota St.,"W, 64-62 "
11-19,UNLV,Michigan,"L, 74-61 "
11-21,UNLV,Wichita St.,"L, 74-73 "
11-24,UNLV,Whittier,"W, 101-45 "
11-27,UNLV,UCLA,"L, 73-51 "
12-01,UNLV,SMU,"L, 83-64 "
12-04,UNLV,San Francisco,"L, 83-62 "
12-08,UNLV,Seattle,"W, 76-56 "
12-11,UNLV,Hartford,"W, 95-78 "
12-15,UNLV,Nebraska Omaha,"W, 84-71 "
12-22,UNLV,San Diego,"W, 80-57 "
1-01,UNLV,San Diego St.,"L, 62-55 "
1-11,UNLV,New Mexico,"W, 85-56 "
1-14,UNLV,Fresno St.,"L, 73-68 "
1-17,UNLV,San Jose St.,"W, 81-56 "
1-20,UNLV,Air Force,"L, 69-62 "
1-22,UNLV,San Jose St.,"W, 70-62 "
